module,permission,role,scope,requires_jit,requires_dual_control,notes
kyc,kyc.view,owner,company,no,no,
kyc,kyc.view,legal_representative,company,no,no,
kyc,kyc.view,company_admin,company,no,no,
kyc,kyc.upload,owner,company,no,no,
kyc,kyc.upload,legal_representative,company,no,no,
kyc,kyc.upload,company_admin,company,no,no,
kyc,kyc.view_status,system_admin,global,no,no,durum gorulur (APPROVED/PENDING vb.) belge icerigi degil
kyc,kyc.view_status,super_admin,global,no,no,
kyc,kyc.view_document,system_admin,global,yes,no,belge icerigini acmak JIT gerektirir
kyc,kyc.view_document,super_admin,global,yes,no,
kyc,kyc.download,system_admin,global,yes,no,
kyc,kyc.download,super_admin,global,yes,no,
kyc,kyc.approve,system_admin,global,no,no,
kyc,kyc.approve,super_admin,global,no,no,
kyc,kyc.reject,system_admin,global,no,no,
kyc,kyc.reject,super_admin,global,no,no,
kyc,kyc.request_more_info,system_admin,global,no,no,
kyc,kyc.request_more_info,super_admin,global,no,no,
kyc,kyc.physical_document.log,reception,location,no,no,fiziksel belge teslim alma kaydi
kyc,kyc.physical_document.destroy,system_admin,global,yes,yes,dual-control gerektirir
kyc,kyc.physical_document.destroy,super_admin,global,yes,yes,dual-control gerektirir
contract,contract.view,owner,company,no,no,
contract,contract.view,legal_representative,company,no,no,
contract,contract.view,company_admin,company,no,no,
contract,contract.view,accountant,company,no,no,
contract,contract.download,owner,company,no,no,
contract,contract.download,legal_representative,company,no,no,
contract,contract.create,system_admin,global,no,no,
contract,contract.create,operations_admin,global,no,no,
contract,contract.send_for_signature,system_admin,global,no,no,
contract,contract.send_for_signature,operations_admin,global,no,no,
contract,contract.sign,legal_representative,company,no,no,imza yetkisi bu role
contract,contract.cancel,system_admin,global,yes,no,
contract,contract.cancel,super_admin,global,yes,no,
subscription,subscription.view,owner,company,no,no,
subscription,subscription.view,company_admin,company,no,no,
subscription,subscription.view,accountant,company,no,no,
subscription,subscription.create,owner,company,no,no,
subscription,subscription.create,company_admin,company,no,no,
subscription,subscription.upgrade,owner,company,no,no,
subscription,subscription.upgrade,company_admin,company,no,no,
subscription,subscription.downgrade,owner,company,no,no,
subscription,subscription.cancel,owner,company,no,no,
subscription,subscription.cancel,legal_representative,company,no,no,
subscription,subscription.view,finance_admin,global,no,no,
subscription,subscription.view,system_admin,global,no,no,
subscription,subscription.override,finance_admin,global,yes,no,manuel istisna/kampanya uygulama
subscription,subscription.override,super_admin,global,yes,no,
subscription,subscription.manage,finance_admin,global,no,no,paket tanimi + uyelik ac/yenile/iptal (faz 39b)
subscription,subscription.manage,system_admin,global,no,no,
payment,payment.view,owner,company,no,no,
payment,payment.view,company_admin,company,no,no,
payment,payment.view,accountant,company,no,no,
payment,payment.initiate,owner,company,no,no,
payment,payment.initiate,company_admin,company,no,no,
payment,payment.view,finance_admin,global,no,no,
payment,payment.view,system_admin,global,no,no,
payment,payment.refund,finance_admin,global,yes,no,esik ustu ikinci onay gerekir
payment,payment.refund,super_admin,global,yes,no,
payment,payment.view_provider_response,finance_admin,global,no,no,
payment,payment.view_provider_response,system_admin,global,no,no,
invoice,invoice.view,owner,company,no,no,
invoice,invoice.view,company_admin,company,no,no,
invoice,invoice.view,accountant,company,no,no,
invoice,invoice.view,finance_admin,global,no,no,
invoice,invoice.view,system_admin,global,no,no,
invoice,invoice.view,super_admin,global,no,no,
invoice,invoice.issue,finance_admin,global,no,no,
invoice,invoice.issue,system_admin,global,no,no,
invoice,invoice.cancel,finance_admin,global,yes,no,
invoice,invoice.cancel,super_admin,global,yes,no,
invoice,invoice.refund,finance_admin,global,yes,no,
invoice,invoice.refund,super_admin,global,yes,no,
invoice,invoice.export,finance_admin,global,yes,no,toplu export JIT+approval gerektirir
invoice,invoice.export,super_admin,global,yes,no,
ledger,ledger.view,owner,company,no,no,
ledger,ledger.view,accountant,company,no,no,
ledger,ledger.view,finance_admin,global,no,no,
ledger,ledger.view,system_admin,global,no,no,
ledger,ledger.correction_entry,finance_admin,global,yes,no,orijinal kayit silinmez sadece duzeltme girisi
ledger,ledger.correction_entry,super_admin,global,yes,no,
ledger,payment_allocation.manage,finance_admin,global,no,no,odemenin hangi faturaya tahsis edildigi
